iqr_open: Opened wwv_5Mhz_g40_1234_48k.iqr
  Sample rate: 48000 Hz
  Center freq: 5000000 Hz
  Samples: 8644116
  Duration: 180.09 seconds
time,wwv,wwvh,wwv_thresh,wwvh_thresh
112.50098,0.044945,0.044228,0.111473,0.093210
112.50198,0.058138,0.056584,0.111473,0.093210
112.50298,0.059793,0.049630,0.111473,0.093210
112.50398,0.070098,0.061076,0.111473,0.093210
112.50498,0.058489,0.050965,0.111473,0.093210
112.50598,0.062164,0.046689,0.111473,0.093210
112.50698,0.055783,0.049006,0.111473,0.093210
112.50798,0.062711,0.053765,0.111473,0.093210
112.50898,0.068047,0.060363,0.111473,0.093210
112.50998,0.057339,0.040476,0.111473,0.093210
112.51098,0.059519,0.046597,0.111473,0.093210
112.51198,0.060761,0.054582,0.111473,0.093210
112.51298,0.064872,0.060605,0.111473,0.093210
112.51398,0.064872,0.046504,0.111473,0.093210
112.51498,0.058155,0.051090,0.111473,0.093210
112.51598,0.047471,0.041729,0.111473,0.093210
112.51698,0.067460,0.053878,0.111473,0.093210
112.51798,0.068763,0.061583,0.111473,0.093210
112.51898,0.060219,0.049235,0.111473,0.093210
112.51998,0.050749,0.039722,0.111473,0.093210
112.52098,0.059573,0.057368,0.111473,0.093210
112.52198,0.050885,0.038803,0.111473,0.093210
112.52298,0.056829,0.050591,0.111473,0.093210
112.52398,0.057129,0.046253,0.111473,0.093210
112.52498,0.045534,0.038126,0.111473,0.093210
112.52598,0.045789,0.036938,0.111473,0.093210
112.52698,0.071212,0.061916,0.111473,0.093210
112.52798,0.065637,0.051547,0.111473,0.093210
112.52898,0.071019,0.064416,0.111473,0.093210
112.52998,0.051711,0.036147,0.111473,0.093210
112.53098,0.057859,0.052511,0.111473,0.093210
112.53198,0.066703,0.053285,0.111473,0.093210
112.53298,0.069166,0.053440,0.111473,0.093210
112.53398,0.051717,0.042783,0.111473,0.093210
112.53498,0.058623,0.051080,0.111473,0.093210
112.53598,0.055306,0.042477,0.111473,0.093210
112.53698,0.047294,0.040081,0.111473,0.093210
112.53798,0.045004,0.036820,0.111473,0.093210
112.53898,0.053770,0.051287,0.111473,0.093210
112.53998,0.054909,0.046930,0.111473,0.093210
112.54098,0.061855,0.043372,0.111473,0.093210
112.54198,0.059233,0.049709,0.111473,0.093210
112.54298,0.073097,0.059352,0.111473,0.093210
112.54398,0.062397,0.054412,0.111473,0.093210
112.54498,0.069689,0.051706,0.111473,0.093210
112.54598,0.069884,0.053874,0.111473,0.093210
112.54698,0.069029,0.054475,0.111473,0.093210
112.54798,0.062925,0.051817,0.111473,0.093210
112.54898,0.063871,0.052120,0.111473,0.093210
112.54998,0.063729,0.047587,0.111473,0.093210
112.55098,0.058694,0.052635,0.111473,0.093210
112.55198,0.064742,0.051182,0.111473,0.093210
112.55298,0.064841,0.057798,0.111473,0.093210
112.55398,0.065237,0.050440,0.111473,0.093210
112.55498,0.064660,0.058177,0.111473,0.093210
112.55598,0.078229,0.062091,0.111473,0.093210
112.55698,0.057951,0.050182,0.111473,0.093210
112.55798,0.053597,0.043876,0.111473,0.093210
112.55898,0.056238,0.050573,0.111473,0.093210
112.55998,0.054409,0.045144,0.111473,0.093210
112.56098,0.058614,0.042118,0.111473,0.093210
112.56198,0.072979,0.060261,0.111473,0.093210
112.56298,0.059688,0.051316,0.111473,0.093210
112.56398,0.056406,0.048589,0.111473,0.093210
112.56498,0.054346,0.049247,0.111473,0.093210
112.56598,0.061281,0.050772,0.111473,0.093210
112.56698,0.059515,0.053672,0.111473,0.093210
112.56798,0.057546,0.041436,0.111473,0.093210
112.56898,0.055032,0.047194,0.111473,0.093210
112.56998,0.044709,0.038487,0.111473,0.093210
112.57098,0.070584,0.052047,0.111473,0.093210
112.57198,0.058839,0.052908,0.111473,0.093210
112.57298,0.065911,0.052395,0.111473,0.093210
112.57398,0.065445,0.053305,0.111473,0.093210
112.57498,0.053339,0.040962,0.111473,0.093210
112.57598,0.057440,0.050262,0.111473,0.093210
112.57698,0.035563,0.030070,0.111473,0.093210
112.57798,0.048129,0.042322,0.111473,0.093210
112.57898,0.056698,0.047211,0.111473,0.093210
112.57998,0.055380,0.049552,0.111473,0.093210
112.58098,0.067621,0.049016,0.111473,0.093210
112.58198,0.054531,0.047533,0.111473,0.093210
