iqr_open: Opened wwv_5minute_48k.iqr
  Sample rate: 48000 Hz
  Center freq: 10000000 Hz
  Samples: 14403796
  Duration: 300.08 seconds
time,wwv,wwvh,wwv_thresh,wwvh_thresh
7.7100,0.030354,0.008805,0.050898,0.014862
7.7200,0.032390,0.008498,0.050898,0.014862
7.7300,0.030829,0.008082,0.050898,0.014862
7.7400,0.029993,0.008052,0.050898,0.014862
7.7500,0.029751,0.007809,0.050898,0.014862
7.7600,0.031745,0.009229,0.050898,0.014862
7.7700,0.031160,0.009466,0.050898,0.014862
7.7800,0.032882,0.008049,0.050898,0.014862
7.7900,0.035965,0.011970,0.050898,0.014862
7.8000,0.034857,0.009088,0.050898,0.014862
7.8100,0.032766,0.009564,0.050898,0.014862
7.8200,0.032747,0.010197,0.050898,0.014862
7.8300,0.034005,0.011163,0.050898,0.014862
7.8400,0.036383,0.012011,0.050898,0.014862
7.8500,0.033370,0.009015,0.050898,0.014862
7.8600,0.029430,0.008739,0.050898,0.014862
7.8700,0.029970,0.008766,0.050898,0.014862
7.8800,0.030426,0.009094,0.050898,0.014862
7.8900,0.034293,0.011031,0.050898,0.014862
7.9000,0.031807,0.008248,0.050898,0.014862
7.9100,0.031431,0.009277,0.050898,0.014862
7.9200,0.031427,0.008781,0.050898,0.014862
7.9300,0.030140,0.007520,0.050898,0.014862
7.9400,0.032601,0.009540,0.050898,0.014862
7.9500,0.031947,0.009541,0.050898,0.014862
7.9600,0.033844,0.010242,0.050898,0.014862
7.9700,0.030373,0.008519,0.050898,0.014862
7.9800,0.031443,0.008755,0.050898,0.014862
7.9900,0.033570,0.010767,0.050898,0.014862
8.0000,0.032666,0.009072,0.050898,0.014862
